Title,Date,Rating,Review
Perfect smash burger,2026-02-22,5,"Stopped by the drive-thru late at night and the burger was excellent. The double patty was juicy, the brioche bun held everything together, and the pepper jack, caramelized onions, special sauce added a lot of flavor. Service was efficient and the no side rounded out the meal nicely. Packaging kept things together better than expected."
A really good burger,2021-08-09,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the lettuce and tomato most, and even the milkshake was better than expected. I'd happily come back."
Would order again,2021-03-08,4,"A solid meal during a quick break. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Portion size was fair for the price."
Messy for the wrong reasons,2025-07-07,2,"Below average meal. The burger arrived lukewarm and the texture was off. The lemonade was fine, but the main item lacked flavor and felt overpriced for what it was. I also appreciated that the order was accurate."
Mixed feelings,2021-05-31,3,"The burger was okay. The double patty had decent flavor, but the sesame bun got soggy halfway through. The pepper jack, bacon, jalapeños were fine, and the milkshake was average. Nothing terrible, just not memorable. I had to add ketchup at home to wake it up a bit."
Delicious and consistent,2021-07-16,4,"Good burger overall. The plant-based patty was juicy and the pepper jack tasted fresh. The toasted bun was slightly messy, but the flavor was there. Service was efficient and I'd order it again."
Missed the mark,2025-06-13,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. I also appreciated that the order was accurate."
Solid neighborhood spot,2022-10-30,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the jalapeños, melted cheddar, special sauce most, and even the lemonade was better than expected. I'd happily come back. Packaging kept things together better than expected."
Delicious and consistent,2024-02-11,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the special sauce, bacon, avocado most, and even the onion rings was better than expected. I'd happily come back."
Really underwhelming,2023-01-18,1,"One of the weaker burger meals I've had. The meat tasted off, the toppings were sloppy, and the sandwich fell apart immediately. Even the no side couldn't make up for it. Portion size was fair for the price."
Missed the mark,2023-07-24,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. Portion size was fair for the price."
Great flavor balance,2021-04-15,5,"This was one of the better burgers I've had lately. The smash patty tasted fresh and rich, and the caramelized onions, special sauce, crispy onions worked really well together on the sesame bun. Everything came out hot, and the staff was helpful from start to finish. I also appreciated that the order was accurate."
"Big portions, fair price",2024-08-19,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the caramelized onions, grilled mushrooms most, and even the fries was better than expected. I'd happily come back. Portion size was fair for the price."
Mixed feelings,2023-07-20,3,"Pretty average experience at the mall location. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was disorganized. I had to add ketchup at home to wake it up a bit."
Fast service and tasty food,2025-04-24,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the grilled mushrooms, pepper jack, melted cheddar, and the onion rings was decent too. Not perfect, but definitely enjoyable. I had to add ketchup at home to wake it up a bit."
Fresh ingredients all around,2022-10-26,5,"This was one of the better burgers I've had lately. The plant-based patty tasted fresh and perfectly seared, and the jalapeños, avocado, bacon worked really well together on the sesame bun. Everything came out hot, and the staff was fast from start to finish. Portion size was fair for the price."
Flavor packed and messy,2026-01-02,4,"Good burger overall. The single patty was perfectly seared and the avocado tasted fresh. The potato bun was slightly messy, but the flavor was there. Service was helpful and I'd order it again. I also appreciated that the order was accurate."
Reasonably good,2021-06-17,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The jalapeños, pickles helped, but overall it felt middle-of-the-road. I also appreciated that the order was accurate."
Classic done right,2021-06-26,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the grilled mushrooms, lettuce and tomato, caramelized onions most, and even the no side was better than expected. I'd happily come back. The fries could have been crispier."
Best lunch stop,2021-11-18,4,"Good burger overall. The plant-based patty was crispy-edged and the caramelized onions, lettuce and tomato, bacon tasted fresh. The soft bun was slightly messy, but the flavor was there. Service was helpful and I'd order it again."
Highly recommend,2024-02-26,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the pepper jack, lettuce and tomato, and the sweet potato fries was decent too. Not perfect, but definitely enjoyable. Packaging kept things together better than expected."
Cold when it arrived,2024-04-16,2,"Below average meal. The burger arrived lukewarm and the texture was off. The milkshake was fine, but the main item lacked flavor and felt overpriced for what it was. The fries could have been crispier."
Disappointing visit,2024-01-12,1,"Really disappointing. The burger came out cold, the patty was rubbery, and the brioche bun was stale. Service was unfriendly, and I wouldn't order this again."
"Some hits, some misses",2024-03-13,3,"Pretty average experience at the drive-thru. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was efficient. The fries could have been crispier."
Flavor packed and messy,2023-05-14,4,"A solid meal during a quick break. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. I had to add ketchup at home to wake it up a bit."
Overcooked and dry,2021-08-16,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. Packaging kept things together better than expected."
A really good burger,2025-05-27,5,"This was one of the better burgers I've had lately. The thick patty tasted fresh and well-seasoned, and the grilled mushrooms worked really well together on the sesame bun. Everything came out hot, and the staff was efficient from start to finish. Portion size was fair for the price."
Classic done right,2022-09-24,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the melted cheddar, crispy onions, and the no side was decent too. Not perfect, but definitely enjoyable. I also appreciated that the order was accurate."
"Some hits, some misses",2022-08-15,3,"The burger was okay. The plant-based patty had decent flavor, but the sesame bun got soggy halfway through. The melted cheddar, crispy onions were fine, and the onion rings was average. Nothing terrible, just not memorable. I had to add ketchup at home to wake it up a bit."
Disappointing visit,2021-07-13,2,"Below average meal. The burger arrived lukewarm and the texture was off. The sweet potato fries was fine, but the main item lacked flavor and felt overpriced for what it was. Portion size was fair for the price."
Perfect smash burger,2021-04-04,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the melted cheddar, bacon, avocado most, and even the no side was better than expected. I'd happily come back. Portion size was fair for the price."
A really good burger,2023-10-24,5,"This was one of the better burgers I've had lately. The double patty tasted fresh and well-seasoned, and the bacon, crispy onions worked really well together on the toasted bun. Everything came out hot, and the staff was helpful from start to finish. I also appreciated that the order was accurate."
Solid neighborhood spot,2025-12-01,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the melted cheddar, pepper jack, crispy onions, and the sweet potato fries was decent too. Not perfect, but definitely enjoyable. I had to add ketchup at home to wake it up a bit."
Good but not amazing,2023-08-27,3,"Pretty average experience at the food court. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was fast. Portion size was fair for the price."
Nothing special,2022-05-04,3,"Pretty average experience at the neighborhood spot. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was quick."
Cold when it arrived,2024-11-12,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. Packaging kept things together better than expected."
Would order again,2024-08-21,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the caramelized onions, jalapeños, pepper jack, and the milkshake was decent too. Not perfect, but definitely enjoyable. The fries could have been crispier."
Fresh ingredients all around,2024-06-17,5,"Stopped by the drive-thru with friends and the burger was excellent. The thick patty was tender, the potato bun held everything together, and the pepper jack, caramelized onions, jalapeños added a lot of flavor. Service was efficient and the onion rings rounded out the meal nicely. I had to add ketchup at home to wake it up a bit."
Highly recommend,2024-09-29,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the caramelized onions most, and even the cola was better than expected. I'd happily come back. I also appreciated that the order was accurate."
Great flavor balance,2022-08-27,4,"A solid meal for lunch. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Portion size was fair for the price."
Would order again,2023-06-18,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Packaging kept things together better than expected."
"Some hits, some misses",2025-05-08,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The pepper jack helped, but overall it felt middle-of-the-road. The fries could have been crispier."
Not bad,2021-07-05,3,"The burger was okay. The single patty had decent flavor, but the toasted bun got soggy halfway through. The bacon, pepper jack, pickles were fine, and the sweet potato fries was average. Nothing terrible, just not memorable. I had to add ketchup at home to wake it up a bit."
Messy for the wrong reasons,2023-04-29,1,"Really disappointing. The burger came out cold, the patty was overcooked, and the sesame bun was stale. Service was slow, and I wouldn't order this again. I also appreciated that the order was accurate."
Fresh ingredients all around,2021-02-10,5,"This was one of the better burgers I've had lately. The double patty tasted fresh and crispy-edged, and the avocado worked really well together on the toasted bun. Everything came out hot, and the staff was helpful from start to finish. I had to add ketchup at home to wake it up a bit."
Delicious and consistent,2025-04-11,5,"Stopped by the neighborhood spot with friends and the burger was excellent. The double patty was tender, the potato bun held everything together, and the avocado added a lot of flavor. Service was attentive and the cola rounded out the meal nicely."
Missed the mark,2023-10-13,1,"Really disappointing. The burger came out cold, the patty was greasy, and the brioche bun was stale. Service was inattentive, and I wouldn't order this again. The fries could have been crispier."
Cheesy in the best way,2022-06-20,5,"This was one of the better burgers I've had lately. The thick patty tasted fresh and crispy-edged, and the pepper jack, pickles worked really well together on the brioche bun. Everything came out hot, and the staff was fast from start to finish. I also appreciated that the order was accurate."
Would order again,2021-06-08,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Portion size was fair for the price."
Exactly what I wanted,2023-11-20,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive."
Missed the mark,2021-09-23,1,"Really disappointing. The burger came out barely warm, the patty was rubbery, and the sesame bun was stale. Service was disorganized, and I wouldn't order this again. Packaging kept things together better than expected."
Okay in a pinch,2024-10-24,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The bacon, special sauce, lettuce and tomato helped, but overall it felt middle-of-the-road. Portion size was fair for the price."
Solid neighborhood spot,2024-04-28,5,"This was one of the better burgers I've had lately. The thick patty tasted fresh and rich, and the caramelized onions worked really well together on the sesame bun. Everything came out hot, and the staff was quick from start to finish. The fries could have been crispier."
Fine for a quick meal,2024-08-03,3,"Pretty average experience at the drive-thru. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was helpful."
Excellent late-night bite,2022-06-24,5,"Stopped by the mall location late at night and the burger was excellent. The single patty was crispy-edged, the brioche bun held everything together, and the crispy onions, jalapeños, bacon added a lot of flavor. Service was efficient and the fries rounded out the meal nicely. Packaging kept things together better than expected."
Cheesy in the best way,2021-03-14,4,"Good burger overall. The smash patty was tender and the caramelized onions, avocado tasted fresh. The brioche bun was slightly messy, but the flavor was there. Service was helpful and I'd order it again."
Average burger experience,2022-06-30,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The avocado, crispy onions helped, but overall it felt middle-of-the-road. I also appreciated that the order was accurate."
Average burger experience,2021-03-15,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The bacon, special sauce helped, but overall it felt middle-of-the-road. I had to add ketchup at home to wake it up a bit."
Not bad,2021-05-10,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The melted cheddar, lettuce and tomato, pepper jack helped, but overall it felt middle-of-the-road."
Average burger experience,2021-03-31,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The pepper jack helped, but overall it felt middle-of-the-road. Portion size was fair for the price."
"Big portions, fair price",2023-04-12,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the melted cheddar, bacon, and the sweet potato fries was decent too. Not perfect, but definitely enjoyable. Packaging kept things together better than expected."
Cheesy in the best way,2021-02-01,4,"A solid meal during a quick break. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive."
"Big portions, fair price",2024-08-15,5,"This was one of the better burgers I've had lately. The plant-based patty tasted fresh and tender, and the crispy onions, avocado, jalapeños worked really well together on the toasted bun. Everything came out hot, and the staff was quick from start to finish. Portion size was fair for the price."
Pretty decent overall,2021-02-07,3,"The burger was okay. The plant-based patty had decent flavor, but the sesame bun got soggy halfway through. The special sauce were fine, and the fries was average. Nothing terrible, just not memorable. The fries could have been crispier."
Not worth the price,2025-10-03,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. I also appreciated that the order was accurate."
Perfect smash burger,2021-08-11,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Packaging kept things together better than expected."
Excellent late-night bite,2022-11-07,4,"Good burger overall. The plant-based patty was tender and the lettuce and tomato tasted fresh. The potato bun was slightly messy, but the flavor was there. Service was quick and I'd order it again. Portion size was fair for the price."
Perfect smash burger,2024-11-16,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the crispy onions most, and even the fries was better than expected. I'd happily come back. The fries could have been crispier."
Mixed feelings,2024-10-08,3,"Pretty average experience at the drive-thru. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was disorganized. Portion size was fair for the price."
"Crispy fries, solid burger",2025-04-04,4,"A solid meal late at night. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. The fries could have been crispier."
Classic done right,2023-11-30,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the pepper jack, and the sweet potato fries was decent too. Not perfect, but definitely enjoyable. I had to add ketchup at home to wake it up a bit."
Fine for a quick meal,2023-01-14,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The pickles helped, but overall it felt middle-of-the-road."
Not worth the price,2023-03-15,2,"Below average meal. The burger arrived lukewarm and the texture was off. The milkshake was fine, but the main item lacked flavor and felt overpriced for what it was. I also appreciated that the order was accurate."
Overcooked and dry,2025-09-16,1,"Not good at all. The burger was bland, greasy, and overdone at the same time. I waited too long for food that just wasn't worth finishing. The fries could have been crispier."
Cooked just right,2024-01-22,5,"This was one of the better burgers I've had lately. The single patty tasted fresh and juicy, and the crispy onions, lettuce and tomato, jalapeños worked really well together on the toasted bun. Everything came out hot, and the staff was fast from start to finish. Portion size was fair for the price."
"Crispy fries, solid burger",2024-05-01,4,"Good burger overall. The plant-based patty was perfectly seared and the jalapeños tasted fresh. The brioche bun was slightly messy, but the flavor was there. Service was efficient and I'd order it again. Portion size was fair for the price."
Cheesy in the best way,2023-10-22,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the pickles, special sauce, crispy onions most, and even the sweet potato fries was better than expected. I'd happily come back. Packaging kept things together better than expected."
Pretty decent overall,2026-02-26,3,"The burger was okay. The double patty had decent flavor, but the sesame bun got soggy halfway through. The crispy onions were fine, and the sweet potato fries was average. Nothing terrible, just not memorable. I had to add ketchup at home to wake it up a bit."
Classic done right,2021-11-14,4,"Good burger overall. The smash patty was perfectly seared and the avocado, grilled mushrooms, jalapeños tasted fresh. The toasted bun was slightly messy, but the flavor was there. Service was efficient and I'd order it again. The fries could have been crispier."
Fresh ingredients all around,2024-08-12,5,"This was one of the better burgers I've had lately. The thick patty tasted fresh and crispy-edged, and the jalapeños, avocado, melted cheddar worked really well together on the toasted bun. Everything came out hot, and the staff was friendly from start to finish. I had to add ketchup at home to wake it up a bit."
Fine for a quick meal,2025-08-05,3,"The burger was okay. The single patty had decent flavor, but the soft bun got soggy halfway through. The grilled mushrooms, bacon, caramelized onions were fine, and the cola was average. Nothing terrible, just not memorable. Packaging kept things together better than expected."
Disappointing visit,2022-05-12,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. The fries could have been crispier."
Fresh ingredients all around,2022-01-15,5,"This was one of the better burgers I've had lately. The thick patty tasted fresh and juicy, and the avocado, jalapeños, pickles worked really well together on the brioche bun. Everything came out hot, and the staff was helpful from start to finish."
Exactly what I wanted,2024-02-16,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the melted cheddar, lettuce and tomato, avocado most, and even the milkshake was better than expected. I'd happily come back. I had to add ketchup at home to wake it up a bit."
Classic done right,2021-07-20,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the pickles, pepper jack most, and even the no side was better than expected. I'd happily come back. Portion size was fair for the price."
Juicy and satisfying,2023-07-28,5,"This was one of the better burgers I've had lately. The thick patty tasted fresh and rich, and the bacon, lettuce and tomato, caramelized onions worked really well together on the potato bun. Everything came out hot, and the staff was quick from start to finish. Packaging kept things together better than expected."
Exactly what I wanted,2025-02-22,4,"A solid meal during a quick break. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. I had to add ketchup at home to wake it up a bit."
Cooked just right,2021-02-23,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the melted cheddar, pickles, and the milkshake was decent too. Not perfect, but definitely enjoyable. Packaging kept things together better than expected."
Excellent late-night bite,2021-12-16,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive."
Fast service and tasty food,2022-08-28,4,"Good burger overall. The single patty was tender and the crispy onions, lettuce and tomato tasted fresh. The brioche bun was slightly messy, but the flavor was there. Service was quick and I'd order it again. I had to add ketchup at home to wake it up a bit."
Cheesy in the best way,2021-05-14,4,"Good burger overall. The thick patty was rich and the grilled mushrooms tasted fresh. The soft bun was slightly messy, but the flavor was there. Service was fast and I'd order it again. The fries could have been crispier."
"Crispy fries, solid burger",2021-06-09,5,"This was one of the better burgers I've had lately. The single patty tasted fresh and juicy, and the melted cheddar, lettuce and tomato, avocado worked really well together on the brioche bun. Everything came out hot, and the staff was attentive from start to finish. The fries could have been crispier."
Okay in a pinch,2024-07-06,3,"The burger was okay. The plant-based patty had decent flavor, but the brioche bun got soggy halfway through. The jalapeños, pickles, melted cheddar were fine, and the milkshake was average. Nothing terrible, just not memorable. I also appreciated that the order was accurate."
Good but not amazing,2023-12-10,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The lettuce and tomato helped, but overall it felt middle-of-the-road."
Okay in a pinch,2023-02-01,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The pepper jack helped, but overall it felt middle-of-the-road. The fries could have been crispier."
Disappointing visit,2021-02-10,1,"Not good at all. The burger was bland, greasy, and overdone at the same time. I waited too long for food that just wasn't worth finishing. Portion size was fair for the price."
Surprisingly great burger,2024-11-09,4,"A solid meal late at night. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. I also appreciated that the order was accurate."
Best lunch stop,2022-08-16,4,"Good burger overall. The smash patty was rich and the pickles, lettuce and tomato tasted fresh. The brioche bun was slightly messy, but the flavor was there. Service was friendly and I'd order it again."
Messy for the wrong reasons,2025-06-28,2,"I wanted to like this more, but it was disappointing. The smash patty was cold, and the brioche bun fell apart quickly. The pepper jack, avocado, melted cheddar couldn't save it, and service felt rushed. I also appreciated that the order was accurate."
Juicy and satisfying,2023-05-01,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the lettuce and tomato, and the sweet potato fries was decent too. Not perfect, but definitely enjoyable."
Okay in a pinch,2022-11-12,3,"The burger was okay. The smash patty had decent flavor, but the potato bun got soggy halfway through. The crispy onions, melted cheddar, grilled mushrooms were fine, and the sweet potato fries was average. Nothing terrible, just not memorable. Packaging kept things together better than expected."
Fast service and tasty food,2025-05-14,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the caramelized onions, and the sweet potato fries was decent too. Not perfect, but definitely enjoyable. Portion size was fair for the price."
A really good burger,2025-11-07,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the lettuce and tomato most, and even the cola was better than expected. I'd happily come back. I also appreciated that the order was accurate."
Juicy and satisfying,2022-10-29,5,"This was one of the better burgers I've had lately. The thick patty tasted fresh and well-seasoned, and the jalapeños, caramelized onions worked really well together on the toasted bun. Everything came out hot, and the staff was friendly from start to finish."
Perfect smash burger,2022-01-18,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the pepper jack, and the lemonade was decent too. Not perfect, but definitely enjoyable. The fries could have been crispier."
"Crispy fries, solid burger",2025-03-12,4,"Good burger overall. The plant-based patty was rich and the pickles, grilled mushrooms, special sauce tasted fresh. The soft bun was slightly messy, but the flavor was there. Service was helpful and I'd order it again. Packaging kept things together better than expected."
Fast service and tasty food,2025-04-18,5,"Stopped by the food court on a road trip and the burger was excellent. The smash patty was rich, the sesame bun held everything together, and the grilled mushrooms added a lot of flavor. Service was efficient and the lemonade rounded out the meal nicely."
Cooked just right,2025-09-03,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the grilled mushrooms, pepper jack, caramelized onions most, and even the fries was better than expected. I'd happily come back."
Cooked just right,2025-06-09,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the lettuce and tomato, caramelized onions most, and even the cola was better than expected. I'd happily come back. Portion size was fair for the price."
Messy for the wrong reasons,2025-06-28,2,"Below average meal. The burger arrived lukewarm and the texture was off. The lemonade was fine, but the main item lacked flavor and felt overpriced for what it was. The fries could have been crispier."
Poor service this time,2021-12-22,2,"I wanted to like this more, but it was disappointing. The plant-based patty was cold, and the toasted bun fell apart quickly. The special sauce, lettuce and tomato couldn't save it, and service felt slow."
Would not return,2022-11-16,2,"Below average meal. The burger arrived lukewarm and the texture was off. The onion rings was fine, but the main item lacked flavor and felt overpriced for what it was. I also appreciated that the order was accurate."
Reasonably good,2023-10-17,3,"The burger was okay. The single patty had decent flavor, but the toasted bun got soggy halfway through. The caramelized onions, pickles, melted cheddar were fine, and the milkshake was average. Nothing terrible, just not memorable. Packaging kept things together better than expected."
Flavor packed and messy,2021-04-21,5,"Stopped by the mall location after work and the burger was excellent. The smash patty was crispy-edged, the potato bun held everything together, and the jalapeños, avocado, caramelized onions added a lot of flavor. Service was attentive and the lemonade rounded out the meal nicely. I had to add ketchup at home to wake it up a bit."
Fast service and tasty food,2022-01-05,5,"This was one of the better burgers I've had lately. The single patty tasted fresh and tender, and the pickles worked really well together on the sesame bun. Everything came out hot, and the staff was helpful from start to finish. The fries could have been crispier."
Overcooked and dry,2021-08-28,2,"I wanted to like this more, but it was disappointing. The smash patty was dry, and the toasted bun fell apart quickly. The special sauce, grilled mushrooms, avocado couldn't save it, and service felt slow. I had to add ketchup at home to wake it up a bit."
Juicy and satisfying,2022-07-09,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the crispy onions, melted cheddar, special sauce, and the lemonade was decent too. Not perfect, but definitely enjoyable."
Not bad,2025-05-06,3,"Pretty average experience at the neighborhood spot. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was efficient. The fries could have been crispier."
Bland and forgettable,2023-10-08,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. I had to add ketchup at home to wake it up a bit."
Not bad,2021-04-20,3,"Pretty average experience at the food court. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was slow. Packaging kept things together better than expected."
Exactly what I wanted,2025-12-31,5,"This was one of the better burgers I've had lately. The plant-based patty tasted fresh and well-seasoned, and the lettuce and tomato, caramelized onions, crispy onions worked really well together on the sesame bun. Everything came out hot, and the staff was quick from start to finish."
Pretty decent overall,2023-02-01,3,"The burger was okay. The plant-based patty had decent flavor, but the soft bun got soggy halfway through. The melted cheddar were fine, and the cola was average. Nothing terrible, just not memorable. The fries could have been crispier."
Would order again,2023-10-31,5,"Stopped by the airport branch late at night and the burger was excellent. The plant-based patty was crispy-edged, the soft bun held everything together, and the melted cheddar, pepper jack added a lot of flavor. Service was helpful and the onion rings rounded out the meal nicely."
"Some hits, some misses",2023-07-11,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The special sauce, melted cheddar helped, but overall it felt middle-of-the-road. The fries could have been crispier."
Pretty decent overall,2025-06-07,3,"Pretty average experience at the drive-thru. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was attentive. The fries could have been crispier."
Mixed feelings,2024-09-23,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The jalapeños, pepper jack, special sauce helped, but overall it felt middle-of-the-road."
Exactly what I wanted,2022-03-13,5,"This was one of the better burgers I've had lately. The single patty tasted fresh and crispy-edged, and the special sauce, melted cheddar worked really well together on the soft bun. Everything came out hot, and the staff was quick from start to finish. Portion size was fair for the price."
A really good burger,2022-06-14,4,"Good burger overall. The thick patty was juicy and the pepper jack tasted fresh. The soft bun was slightly messy, but the flavor was there. Service was friendly and I'd order it again. I also appreciated that the order was accurate."
Best lunch stop,2024-01-23,5,"Stopped by the airport branch for lunch and the burger was excellent. The single patty was juicy, the brioche bun held everything together, and the pickles added a lot of flavor. Service was quick and the cola rounded out the meal nicely."
Perfect smash burger,2023-10-27,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the avocado, grilled mushrooms, pickles, and the fries was decent too. Not perfect, but definitely enjoyable. I also appreciated that the order was accurate."
Flavor packed and messy,2024-12-13,5,"This was one of the better burgers I've had lately. The single patty tasted fresh and well-seasoned, and the grilled mushrooms worked really well together on the sesame bun. Everything came out hot, and the staff was fast from start to finish. Packaging kept things together better than expected."
Really underwhelming,2026-01-09,1,"Really disappointing. The burger came out barely warm, the patty was overcooked, and the brioche bun was stale. Service was disorganized, and I wouldn't order this again. The fries could have been crispier."
Delicious and consistent,2021-12-12,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the bacon most, and even the fries was better than expected. I'd happily come back. I also appreciated that the order was accurate."
"Crispy fries, solid burger",2021-02-09,4,"A solid meal during a quick break. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. I had to add ketchup at home to wake it up a bit."
"Big portions, fair price",2022-10-12,5,"This was one of the better burgers I've had lately. The double patty tasted fresh and well-seasoned, and the grilled mushrooms, jalapeños, avocado worked really well together on the toasted bun. Everything came out hot, and the staff was fast from start to finish. Portion size was fair for the price."
Reasonably good,2025-12-01,3,"Pretty average experience at downtown. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was efficient. Packaging kept things together better than expected."
Fine for a quick meal,2022-06-07,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The avocado, pickles helped, but overall it felt middle-of-the-road. Packaging kept things together better than expected."
Messy for the wrong reasons,2023-06-17,1,"Really disappointing. The burger came out cold, the patty was cold, and the toasted bun was stale. Service was inattentive, and I wouldn't order this again. The fries could have been crispier."
"Crispy fries, solid burger",2022-06-07,5,"Stopped by the airport branch with friends and the burger was excellent. The smash patty was rich, the sesame bun held everything together, and the grilled mushrooms, crispy onions added a lot of flavor. Service was attentive and the onion rings rounded out the meal nicely. Portion size was fair for the price."
Bland and forgettable,2022-08-28,2,"Below average meal. The burger arrived lukewarm and the texture was off. The fries was fine, but the main item lacked flavor and felt overpriced for what it was. The fries could have been crispier."
